          Radius         Density           Mass          Pressure       Luminosity      Temperature     Grad
 57     3.96720e+10     5.80889e-01     2.01744e+33     2.26312e+14     3.74604e+33     2.82735e+06     0.245
 58     4.03680e+10     5.10557e-01     2.02544e+33     1.91734e+14     3.74604e+33     2.72534e+06     0.244
 59     4.10640e+10     4.48354e-01     2.03271e+33     1.62266e+14     3.74604e+33     2.62647e+06     0.244
 60     4.17600e+10     3.93367e-01     2.03933e+33     1.37168e+14     3.74604e+33     2.53058e+06     0.244
 61     4.24560e+10     3.44782e-01     2.04533e+33     1.15807e+14     3.74604e+33     2.43755e+06     0.244
 62     4.31520e+10     3.01878e-01     2.05076e+33     9.76394e+13     3.74604e+33     2.34724e+06     0.244
 63     4.38480e+10     2.64012e-01     2.05568e+33     8.22007e+13     3.74604e+33     2.25952e+06     0.244
 64     4.45440e+10     2.30613e-01     2.06012e+33     6.90924e+13     3.74604e+33     2.17426e+06     0.244
 65     4.52400e+10     2.01175e-01     2.06412e+33     5.79735e+13     3.74604e+33     2.09133e+06     0.244
 66     4.59360e+10     1.75247e-01     2.06772e+33     4.85519e+13     3.74604e+33     2.01057e+06     0.245
 67     4.66320e+10     1.52431e-01     2.07095e+33     4.05774e+13     3.74604e+33     1.93187e+06     0.246
 68     4.73280e+10     1.32371e-01     2.07385e+33     3.38362e+13     3.74604e+33     1.85504e+06     0.247
 69     4.80240e+10     1.14753e-01     2.07645e+33     2.81450e+13     3.74604e+33     1.77992e+06     0.248
 70     4.87200e+10     9.92990e-02     2.07876e+33     2.33473e+13     3.74604e+33     1.70630e+06     0.250
 71     4.94160e+10     8.57603e-02     2.08082e+33     1.93090e+13     3.74604e+33     1.63395e+06     0.252
 72     5.01120e+10     7.39185e-02     2.08265e+33     1.59154e+13     3.74604e+33     1.56254e+06     0.256
 73     5.08080e+10     6.35802e-02     2.08428e+33     1.30687e+13     3.74604e+33     1.49168e+06     0.261
 74     5.15040e+10     5.45756e-02     2.08571e+33     1.06848e+13     3.74604e+33     1.42080e+06     0.268
 75     5.22000e+10     4.67568e-02     2.08698e+33     8.69215e+12     3.74604e+33     1.34911e+06     0.278
 76     5.28960e+10     3.99980e-02     2.08809e+33     7.02917e+12     3.74604e+33     1.27535e+06     0.293
 77     5.35920e+10     3.41996e-02     2.08907e+33     5.64302e+12     3.74604e+33     1.19744e+06     0.318
 78     5.42880e+10     2.93019e-02     2.08993e+33     4.48787e+12     3.74604e+33     1.11150e+06     0.360
 79     5.49840e+10     2.51662e-02     2.09069e+33     3.52296e+12     3.74604e+33     1.01591e+06     0.440
 80     5.56800e+10     2.13524e-02     2.09135e+33     2.71479e+12     3.74604e+33     9.22688e+05     0.597
 81     5.63760e+10     1.78508e-02     2.09193e+33     2.04593e+12     3.74604e+33     8.31756e+05     0.827
 82     5.70720e+10     1.46535e-02     2.09243e+33     1.50031e+12     3.74604e+33     7.43030e+05     1.170
 83     5.77680e+10     1.17539e-02     2.09285e+33     1.06318e+12     3.74604e+33     6.56435e+05     1.701
 84     5.84640e+10     9.14770e-03     2.09319e+33     7.20882e+11     3.74604e+33     5.71897e+05     2.548
